#,Item Name,Quantity,Current Room,Category,Condition,Fragile,Priority
1,Washing Machine,1,Balcony,Large Appliance,Good,No,High
2,Dryer,1,Balcony,Large Appliance,Good,No,High
3,Computer Monitor,1,Home Office,Electronics,Good,Yes,High
4,Computer Input Devices (Keyboard + Mouse),1 set,Home Office,Electronics,Good,No,Medium
5,Air Purifier,1,Home Office,Electronics,Good,No,Medium
6,Vacuum Cleaners (Stick + Robot),2,Bedroom,Electronics,Good,No,Medium
7,Smart Speaker,1,Bedroom,Electronics,Good,Yes,Medium
8,Standing Floor Lamp,1,Bedroom,Lighting,Good,No,Low
9,Electric Foot Spa,1,Bedroom,Personal Care Appliance,Good,No,Low
10,Clothes Iron,1,Bedroom,Small Appliance,Good,No,Medium
11,Refrigerator,1,Kitchen,Large Appliance,Good,No,High
12,Electric Kettle,1,Kitchen,Small Appliance,Good,No,Medium
13,UV Sterilizer,1,Kitchen,Small Appliance,Good,No,Low
14,Rice Cooker,1,Kitchen,Small Appliance,Good,No,Medium
15,Induction Cooktop,1,Kitchen,Small Appliance,Good,No,High
16,Blender,1,Kitchen,Small Appliance,Good,No,Medium
17,Electric Water Heater,1,Bathroom,Large Appliance,Good,No,High
18,Electric Personal Care Devices (Toothbrush + Facial Cleanser),1 set,Bathroom,Personal Care Appliance,Good,No,Low
19,LED Vanity Mirror,1,Bedroom,Lighting,Good,Yes,Medium
